metric,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,event_start_s,event_end_s,requires_manual_confirmation
cheek_composite_proxy,0.1700000000000017,5.548173950988767,-5.548173950988767,17,2025-12-23_14-26-24_Orna_1,56.23,56.4,True
cheek_composite_proxy,0.13999999999999346,4.037227114758378,4.037227114758378,14,2025-12-23_14-26-24_Orna_1,62.38,62.519999999999996,True
cheek_composite_proxy,0.21999999999999886,5.352146926403855,-5.352146926403855,22,2025-12-23_14-26-24_Orna_1,66.64,66.86,True
cheek_composite_proxy,0.10999999999999943,5.797220412026947,-5.797220412026947,11,2025-12-23_14-26-24_Orna_1,81.72,81.83,True
cheek_composite_proxy,0.14000000000001478,4.314287606517151,-4.314287606517151,14,2025-12-23_14-26-24_Orna_1,93.91,94.05000000000001,True
cheek_composite_proxy,0.21999999999999886,5.137535679970257,-5.137535679970257,22,2025-12-23_14-26-24_Orna_1,97.61,97.83,True
cheek_composite_proxy,0.37999999999999545,3.7652038822805007,3.7652038822805007,38,2025-12-23_14-26-24_Orna_1,102.45,102.83,True
cheek_composite_proxy,0.14000000000000057,3.9255002977840245,-3.9255002977840245,14,2025-12-23_14-26-24_Orna_1,111.76,111.9,True
cheek_composite_proxy,0.12000000000000455,3.600347062468296,3.600347062468296,12,2025-12-23_14-26-24_Orna_1,112.38,112.5,True
cheek_composite_proxy,0.11000000000001364,4.223114270284771,-4.223114270284771,11,2025-12-23_14-26-24_Orna_1,117.96,118.07000000000001,True
cheek_composite_proxy,0.12999999999999545,4.286530961487288,-4.286530961487288,13,2025-12-23_14-26-24_Orna_1,122.7,122.83,True
cheek_composite_proxy,0.09000000000000341,3.658974713670789,-3.658974713670789,9,2025-12-23_14-26-24_Orna_1,126.23,126.32000000000001,True
cheek_composite_proxy,0.12000000000000455,5.011911538957355,-5.011911538957355,12,2025-12-23_14-26-24_Orna_1,130.01,130.13,True
cheek_composite_proxy,0.14999999999997726,5.247838691259012,-5.247838691259012,15,2025-12-23_14-26-24_Orna_1,133.56,133.70999999999998,True
cheek_composite_proxy,0.21999999999999886,7.298358706635113,-7.298358706635113,22,2025-12-23_14-26-24_Orna_1,138.59,138.81,True
cheek_composite_proxy,0.09999999999999432,6.231550622404021,-6.231550622404021,10,2025-12-23_14-26-24_Orna_1,143.39,143.48999999999998,True
cheek_composite_proxy,0.08999999999997499,3.700635136986595,-3.700635136986595,9,2025-12-23_14-26-24_Orna_1,152.36,152.45,True
mouth_open_proxy,0.08999999999999979,6.872168106252895,6.872168106252895,9,2025-12-23_14-26-24_Orna_1,0.0,0.08999999999999979,True
mouth_open_proxy,0.13999999999999968,3.656507037407927,3.656507037407927,14,2025-12-23_14-26-24_Orna_1,6.79,6.93,True
mouth_open_proxy,0.17999999999999972,4.58626015077536,-4.58626015077536,18,2025-12-23_14-26-24_Orna_1,50.04,50.22,True
mouth_open_proxy,0.22999999999999687,6.467734782371976,6.467734782371976,23,2025-12-23_14-26-24_Orna_1,58.97,59.199999999999996,True
mouth_open_proxy,0.19000000000001194,3.8502268710525342,3.8502268710525342,19,2025-12-23_14-26-24_Orna_1,67.49,67.68,True
mouth_open_proxy,0.0800000000000125,3.6477028129405564,3.6477028129405564,8,2025-12-23_14-26-24_Orna_1,67.85,67.93,True
mouth_open_proxy,0.1700000000000017,4.1531169685980664,4.1531169685980664,17,2025-12-23_14-26-24_Orna_1,68.14,68.31,True
mouth_open_proxy,0.12000000000000455,8.813038018696991,8.813038018696991,12,2025-12-23_14-26-24_Orna_1,74.9,75.02000000000001,True
mouth_open_proxy,0.0800000000000125,4.080276513106313,4.080276513106313,8,2025-12-23_14-26-24_Orna_1,83.41,83.49000000000001,True
mouth_open_proxy,0.10999999999999943,3.59304957011264,3.59304957011264,11,2025-12-23_14-26-24_Orna_1,83.59,83.7,True
mouth_open_proxy,0.10000000000000853,8.110943580376384,8.110943580376384,10,2025-12-23_14-26-24_Orna_1,84.0,84.10000000000001,True
