video_id,trial_id,window,window_start_rel_s,window_end_rel_s,deepface_sampled_frames,deepface_success_rate,deepface_dominant_emotion_mode,deepface_angry_mean,deepface_angry_max,deepface_disgust_mean,deepface_disgust_max,deepface_fear_mean,deepface_fear_max,deepface_happy_mean,deepface_happy_max,deepface_sad_mean,deepface_sad_max,deepface_surprise_mean,deepface_surprise_max,deepface_neutral_mean,deepface_neutral_max
P1L42069,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,1.0702955478336662e-05,1.0702955478336662e-05,2.205462548698911e-11,2.205462548698911e-11,50.30851364135742,50.30851364135742,49.68405532836914,49.68405532836914,0.0054009961895644,0.0054009961895644,1.4357234512374362e-08,1.4357234512374362e-08,0.0020233104005455,0.0020233104005455
P1L42069,2,early_0_500ms,0.0,0.5,1,1.0,fear,3.1224106351146474e-05,3.1224106351146474e-05,2.1080097667436348e-08,2.1080097667436348e-08,98.91424560546876,98.91424560546876,0.0020144060254096,0.0020144060254096,0.918670117855072,0.918670117855072,1.4434125769624547e-11,1.4434125769624547e-11,0.1650381088256836,0.1650381088256836
P1L42069,2,short_500_2000ms,0.5,2.0,1,1.0,fear,2.095894888043404e-05,2.095894888043404e-05,3.4203857524062187e-09,3.4203857524062187e-09,99.36077117919922,99.36077117919922,0.0035169227048754,0.0035169227048754,0.6346420049667358,0.6346420049667358,3.9592159412071837e-11,3.9592159412071837e-11,0.0010505297686904,0.0010505297686904
P1L42069,2,late_2_5s,2.0,5.0,3,1.0,fear,0.0002895976889286988,0.0007853079587221,9.226063794826393e-07,2.7105500066682e-06,99.51303100585938,99.97481536865234,0.010980399635930801,0.0134217608720064,0.4691926452020804,1.2801389694213867,9.302780673974921e-11,2.449361824474749e-10,0.006504861434223072,0.0187784954905509
P2H31220,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,sad,0.0104531468823552,0.0104531468823552,2.14416762215096e-17,2.14416762215096e-17,14.988021850585938,14.988021850585938,3.2987920728366755e-10,3.2987920728366755e-10,85.0014877319336,85.0014877319336,5.391342540833205e-17,5.391342540833205e-17,3.301664037280716e-05,3.301664037280716e-05
P2H31220,1,early_0_500ms,0.0,0.5,1,1.0,sad,1.2262749671936035,1.2262749671936035,5.196102439107824e-15,5.196102439107824e-15,46.89743041992188,46.89743041992188,3.3804774091095175e-08,3.3804774091095175e-08,51.87628173828125,51.87628173828125,2.5855676479772778e-15,2.5855676479772778e-15,1.0351159289712086e-05,1.0351159289712086e-05
P2H31220,1,short_500_2000ms,0.5,2.0,1,1.0,happy,0.6316686272621155,0.6316686272621155,2.835268060152885e-05,2.835268060152885e-05,13.578095436096191,13.578095436096191,80.3763198852539,80.3763198852539,4.888909339904785,4.888909339904785,0.1723808199167251,0.1723808199167251,0.3526038229465484,0.3526038229465484
P2H31220,1,late_2_5s,2.0,5.0,3,1.0,sad,0.2001945317412416,0.5795722603797913,0.0004175272684969593,0.0012216703034937,40.310441970825195,99.9216537475586,0.52581258614858,1.2134721279144287,58.92745167389512,90.5792465209961,0.00043418785571698793,0.0008049579919315,0.03524847911334438,0.0970331504940986
P2H31220,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,neutral,0.0283681079745292,0.0283681079745292,2.1068353817099705e-07,2.1068353817099705e-07,11.904427528381348,11.904427528381348,1.7543766498565674,1.7543766498565674,0.2086468786001205,0.2086468786001205,4.268331050872803,4.268331050872803,81.83584594726562,81.83584594726562
P2H31220,2,early_0_500ms,0.0,0.5,1,1.0,fear,0.46825110912323,0.46825110912323,0.0035343894269317,0.0035343894269317,98.39778137207033,98.39778137207033,0.3571185767650604,0.3571185767650604,0.7177184224128723,0.7177184224128723,0.0504398010671138,0.0504398010671138,0.0051552145741879,0.0051552145741879
P2H31220,2,short_500_2000ms,0.5,2.0,1,1.0,fear,0.1411999613046646,0.1411999613046646,3.074018968618475e-05,3.074018968618475e-05,62.0330924987793,62.0330924987793,36.87619018554688,36.87619018554688,0.0301096346229314,0.0301096346229314,0.6403276324272156,0.6403276324272156,0.2790410816669464,0.2790410816669464
P2H31220,2,late_2_5s,2.0,5.0,3,1.0,fear,3.245271968726153,7.033713340759277,0.00012626693430869653,0.000375007133698,94.15831502278645,99.7963638305664,2.211070427283024,6.544710159301758,0.055501050626238134,0.138170450925827,0.3139823724826177,0.8626056909561157,0.015733846696093633,0.0312954969704151
P2H42009,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,neutral,2.6945548057556152,2.6945548057556152,0.2338483333587646,0.2338483333587646,6.883112907409668,6.883112907409668,9.337773323059082,9.337773323059082,32.932762145996094,32.932762145996094,0.0554614290595054,0.0554614290595054,47.86248779296875,47.86248779296875
P2H42009,1,early_0_500ms,0.0,0.5,1,1.0,neutral,0.4197524189949035,0.4197524189949035,0.0038425454404205,0.0038425454404205,1.733515381813049,1.733515381813049,19.87467384338379,19.87467384338379,12.694828987121582,12.694828987121582,2.0590245723724365,2.0590245723724365,63.2143669128418,63.2143669128418
