window,feature,n_pairs,sweat_mean,control_mean,mean_diff_sweat_minus_control,median_diff_sweat_minus_control,paired_effect_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
early_0_500ms,au10_upper_lip_raise_proxy_delta_mean,7,0.04326796795973964,-0.0013987737786931278,0.04466674173843277,0.0574228076195258,0.8031779509305615,2.1250091166927043,0.07774351942355301,3.0,0.078125
early_0_500ms,au10_upper_lip_raise_proxy_z_peak_abs,7,7.570554012765252,5.80139083022284,1.7691631825424128,3.3079300887841545,0.3118808970861136,0.8251592923615858,0.4408466513167518,9.0,0.46875
early_0_500ms,au10_upper_lip_raise_proxy_delta_auc_abs,7,0.02362177519042013,0.020201184428476883,0.0034205907619432414,0.0029038079354310005,0.18661195325788552,0.4937288199923746,0.6390485412696433,11.0,0.6875
early_0_500ms,au24_lip_press_proxy_delta_mean,7,-0.0013387559174541474,0.015175300265223199,-0.016514056182677348,-0.0043181958930606,-0.4707676870143097,-1.2455342251249546,0.2593683492134266,1.0,0.03125
early_0_500ms,au24_lip_press_proxy_z_peak_abs,7,4.531794545078942,3.7343676127256082,0.7974269323533328,2.3083927366481407,0.15587556418504386,0.4124079783055125,0.6943707436495953,12.0,0.8125
early_0_500ms,au24_lip_press_proxy_delta_auc_abs,7,0.0011229500580597002,0.0073202335976765,-0.0061972835396168005,0.00010566644372309996,-0.3611560319176667,-0.9555290449450516,0.37620741877366204,14.0,1.0
early_0_500ms,au45_blink_proxy_delta_mean,7,-0.06923161511373647,-0.0002691065933247897,-0.06896250852041168,-0.15879807847346772,-0.2319241346226621,-0.6136135832454288,0.5619963983534725,9.0,0.46875
early_0_500ms,au45_blink_proxy_z_peak_abs,7,25.034398317831947,52.069858033158404,-27.03545971532645,-8.529073159959975,-0.3352311390429898,-0.8869382256326661,0.40925265556567886,9.0,0.46875
early_0_500ms,au45_blink_proxy_delta_auc_abs,7,0.11134040339651229,0.1007286906122984,0.010611712784213868,-0.024594155456549895,0.16048737253575868,0.42460967629579494,0.6859256043196591,12.0,0.8125
early_0_500ms,cheek_composite_proxy_delta_mean,7,0.018356818628644727,0.0038135399712954715,0.014543278657349256,-0.0017762712338362015,0.5990998104045998,1.5850691088365179,0.16404358157789067,10.0,0.578125
early_0_500ms,cheek_composite_proxy_z_peak_abs,7,4.684573897035029,11.175860894190079,-6.491286997155049,0.08360384228996676,-0.2949611175497744,-0.7803937634703924,0.46482323035937284,14.0,1.0
early_0_500ms,cheek_composite_proxy_delta_auc_abs,7,0.01002879688252117,0.008570265504010457,0.0014585313785107142,-0.0018945040454517999,0.1259056983262205,0.3331151664171007,0.7503794985973014,13.0,0.9375
early_0_500ms,mouth_open_proxy_delta_mean,7,0.0013387559174541474,-0.015175300265223199,0.016514056182677348,0.0043181958930606,0.4707676870143097,1.2455342251249546,0.2593683492134266,1.0,0.03125
early_0_500ms,mouth_open_proxy_z_peak_abs,7,4.531794545078942,3.7343676127256082,0.7974269323533328,2.3083927366481407,0.15587556418504386,0.4124079783055125,0.6943707436495953,12.0,0.8125
early_0_500ms,mouth_open_proxy_delta_auc_abs,7,0.0011229500580597002,0.0073202335976765,-0.0061972835396168005,0.00010566644372309996,-0.3611560319176667,-0.9555290449450516,0.37620741877366204,14.0,1.0
early_0_500ms,mouth_asymmetry_proxy_delta_mean,7,-0.014848237507124742,-0.033906567659027116,0.01905833015190237,-0.0129591467484333,0.3608210368425745,0.9546427312859264,0.3766208353066259,10.0,0.578125
early_0_500ms,mouth_asymmetry_proxy_z_peak_abs,7,3.343291767473418,4.146281378180432,-0.8029896107070142,-0.7898375024416981,-0.22037803629659405,-0.5830654784615535,0.5810863951329053,11.0,0.6875
early_0_500ms,mouth_asymmetry_proxy_delta_auc_abs,7,0.007568867996292471,0.019315072253002916,-0.011746204256710444,-0.00019000791354920055,-0.5231490444383097,-1.3841222702048455,0.21560483497227964,9.0,0.46875
